sex,ID,cage,treatment,cohort,week,Body Weight,Total Fat Mass,Lean Mass,Free Water,"NA"
female,467,fe-1,eTRF,2,1,9.95,1.175,7.6049999999999995,NA,NA
female,467,fe-1,eTRF,2,8,17.2,2.2,13.47,NA,NA
female,467,fe-1,eTRF,2,20,23.7,2.68,18.54,NA,NA
male,468,ma-2,AL,2,1,13.75,1.125,11.485,NA,NA
male,468,ma-2,AL,2,8,26.3,1.89,22.94,NA,NA
male,468,ma-2,AL,2,20,51,20.27,27.72,NA,NA
male,469,ma-2,AL,2,1,13.25,1.245,10.719999999999999,NA,NA
male,469,ma-2,AL,2,8,27.1,2.49,22.22,NA,NA
male,469,ma-2,AL,2,20,48.2,18.78,26.79,NA,NA
female,470,fa-2,AL,2,1,11.7,1.12,9.41,NA,NA
female,470,fa-2,AL,2,8,22.3,2.14,18,NA,NA
female,470,fa-2,AL,2,20,38.2,12.48,23.07,NA,NA
female,471,fa-2,AL,2,1,10.1,0.43,9.01,NA,NA
female,471,fa-2,AL,2,8,18.8,1.45,15.65,NA,NA
female,471,fa-2,AL,2,20,32.3,9.79,20,NA,NA
male,472,ma-2,AL,2,1,10.3,0.8566666666666667,9.106666666666667,NA,NA
male,472,ma-2,AL,2,8,25,1.94,21.06,NA,NA
male,472,ma-2,AL,2,20,37.9,10.34,25.28,NA,NA
male,473,ma-2,AL,2,1,11.4,1.0533333333333332,9.33,NA,NA
male,473,ma-2,AL,2,8,23.2,2.16,19.89,NA,NA
male,473,ma-2,AL,2,20,45.3,16.9,25.81,NA,NA
female,474,fa-2,AL,2,1,10.799999999999999,1.05,8.606666666666667,NA,NA
female,474,fa-2,AL,2,8,18.8,1.54,15.37,NA,NA
female,474,fa-2,AL,2,20,31.7,10.79,18.73,NA,NA
female,8749,NA,eTRF,1,1,17,1.69,15,NA,NA
female,8749,NA,eTRF,1,8,20.1,1.3,16.91,0,NA
female,8749,NA,eTRF,1,20,33.3,11.59,19.96,NA,NA
